epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1731,1.63121,3.1798,1.90422,0.00404,0.68355,0.16148,0.0478,2.19298,3.42105,2.79496,0.000468121,0.000468121,0.000468121
2,50.1908,1.8001,2.69056,2.02724,0.16125,0.1622,0.0922,0.02271,2.74066,3.34823,3.22653,0.000935104,0.000935104,0.000935104
3,72.7372,1.74809,2.56222,2.00401,0.16571,0.18342,0.09626,0.02646,2.83206,8.95489,3.30417,0.00139266,0.00139266,0.00139266
4,94.1341,1.76826,2.51042,2.02555,0.18883,0.37785,0.1838,0.08892,2.03426,3.30949,2.6085,0.00138656,0.00138656,0.00138656
5,116.555,1.74251,2.40675,2.00731,0.40199,0.23975,0.18464,0.06652,2.16623,3.89284,2.57676,0.00137241,0.00137241,0.00137241
6,139.09,1.6992,2.29942,1.97652,0.27398,0.44699,0.26188,0.11156,2.04489,2.945,2.51221,0.00135826,0.00135826,0.00135826
7,159.999,1.6814,2.22575,1.95081,0.15753,0.49183,0.18861,0.06896,2.18132,2.80659,2.77215,0.00134412,0.00134412,0.00134412
8,182.103,1.69662,2.20485,1.95089,0.25365,0.453,0.22442,0.09419,1.92357,2.50918,2.38323,0.00132997,0.00132997,0.00132997
9,204.388,1.69175,2.20724,1.9506,0.40136,0.36026,0.32521,0.1434,2.13335,2.65401,2.43228,0.00131582,0.00131582,0.00131582
10,225.566,1.64571,2.09772,1.88704,0.38606,0.4254,0.34418,0.1405,2.40568,2.63277,2.84972,0.00130168,0.00130168,0.00130168
11,247.529,1.61825,2.05375,1.90862,0.36123,0.38963,0.34787,0.14827,2.08863,2.34925,2.48039,0.00128753,0.00128753,0.00128753
12,269.689,1.64153,2.05777,1.93877,0.4401,0.38093,0.36774,0.14163,2.10908,2.39073,2.4429,0.00127338,0.00127338,0.00127338
13,292.022,1.59781,1.9989,1.87622,0.4654,0.38849,0.41616,0.17712,2.05471,2.12285,2.35464,0.00125923,0.00125923,0.00125923
